Helper,Time,Period,Location,Species (common name as in the species list in the module guide - p25),Family,Activity (travelling; foraging; resting),
1,12:27,Midday,LM,Bittern,Ardeidae,Travelling,
2,12:27,Midday,LM,Bittern,Ardeidae,Travelling,
3,12:12,Midday,LM,Bittern,Ardeidae,Travelling,
4,11:55,Midday,LM,Bittern,Ardeidae,Travelling,
5,12:00,Midday,LM,Bittern,Ardeidae,Travelling,
6,12:02,Midday,LM,Black-headed Gull,Laridae,Foraging,
7,12:02,Midday,LM,Black-headed Gull,Laridae,Resting,
8,12:02,Midday,LM,Black-headed Gull,Laridae,Travelling,
9,11:30,Midday,LM,Black-headed Gull,Laridae,Resting,
10,11:20,Midday,LM,Black-headed Gull,Laridae,Resting,
11,11:22,Midday,LM,Black-headed Gull,Laridae,Resting,
12,12:22,Midday,LM,Black-headed Gull,Laridae,Travelling,
13,11:25,Midday,LM,Black-headed Gull,Laridae,Resting,
14,16:36,Afternoon,LM,Black-headed Gull,Laridae,Resting,
15,11:35,Midday,LM,Black-headed Gull,Laridae,Travelling,
16,11:55,Midday,LM,Black-headed Gull,Laridae,Resting,
17,11:20,Midday,LM,Black-headed Gull,Laridae,Resting,
18,11:52,Midday,LM,Black-headed Gull,Laridae,Resting,
19,11:43,Midday,LM,Black-headed Gull,Laridae,Resting,
20,16:11,Afternoon,LM,Black-headed Gull,Laridae,Travelling,
21,11:30,Midday,LM,Black-headed Gull,Laridae,Resting,
22,15:30,Afternoon,LM,Black-headed Gull,Laridae,Travelling,
23,12:00,Midday,LM,Black-headed Gull,Laridae,Foraging,
24,16:08,Afternoon,LM,Black-headed Gull,Laridae,Travelling,
25,16:12,Afternoon,LM,Black-headed Gull,Laridae,Resting,
26,11:15,Midday,LM,Black-headed Gull,Laridae,Travelling,
27,12:45,Afternoon,LM,Black-headed Gull,Laridae,Travelling,
28,12:21,Midday,LM,Black-headed Gull,Laridae,Travelling,Mobbing Grey Heron
29,11:20,Midday,LM,Black-headed Gull,Laridae,Resting,Colony
30,16:13,Afternoon,LM,Black-headed Gull,Laridae,Foraging,
31,16:40,Afternoon,LM,Black-headed Gull,Laridae,Resting,
32,12:10,Midday,LM,Black-headed Gull,Laridae,Travelling,
33,11:43,Midday,LM,Black-headed Gull,Laridae,Travelling,
34,15:45,Afternoon,LM,Black-headed Gull,Laridae,Resting,
35,11:22,Midday,LM,Black-headed Gull,Laridae,Resting,
36,11:35,Midday,LM,Black-headed Gull,Laridae,Resting,
37,11:25,Midday,LM,Black-headed Gull,Laridae,Foraging,
38,16:55,Afternoon,LM,Black-tailed Godwit,Scolopacidae,Travelling,
39,16:40,Afternoon,LM,Black-tailed Godwit,Scolopacidae,Resting,
40,15:09,Afternoon,EW,Blackbird,Turdidae,Foraging,
41,15:10,Afternoon,EW,Blackbird,Turdidae,Foraging,
42,15:10,Afternoon,EW,Blackbird,Turdidae,Foraging,
43,15:10,Afternoon,EW,Blackbird,Turdidae,Foraging,
44,15:10,Afternoon,EW,Blackbird,Turdidae,Foraging,
45,15:19,Afternoon,EW,Blackbird,Turdidae,Travelling,
46,14:00,Afternoon,EW,Blackbird,Turdidae,Foraging,
47,14:30,Afternoon,EW,Blackbird,Turdidae,Foraging,
48,14:30,Afternoon,EW,Blackbird,Turdidae,Foraging,
49,15:19,Afternoon,EW,Blackbird,Turdidae,Travelling,
50,15:23,Afternoon,EW,Blackbird,Turdidae,Travelling,
51,11:52,Midday,EW,Blackbird,Turdidae,Foraging,
52,12:11,Midday,EW,Blackbird,Turdidae,Foraging,
53,15:21,Afternoon,EW,Blackbird,Turdidae,Foraging,
54,13:59,Afternoon,EW,Blackbird,Turdidae,Resting,
55,14:26,Afternoon,EW,Blackbird,Turdidae,Travelling,
56,15:10,Afternoon,EW,Blackbird,Turdidae,Travelling,
57,15:27,Afternoon,EW,Blackbird,Turdidae,Travelling,
58,14:00,Afternoon,EW,Blackbird,Turdidae,Foraging,
59,14:19,Afternoon,EW,Blackbird,Turdidae,Travelling,
60,14:23,Afternoon,EW,Blackbird,Turdidae,Resting,
61,14:50,Afternoon,EW,Blackbird,Turdidae,Foraging,
62,13:54,Afternoon,EW,Blackbird,Turdidae,Travelling,
63,13:57,Afternoon,EW,Blackbird,Turdidae,Foraging,
64,14:10,Afternoon,EW,Blackbird,Turdidae,Foraging,
65,14:17,Afternoon,EW,Blackbird,Turdidae,Travelling,
66,15:14,Afternoon,EW,Blackbird,Turdidae,Travelling,
67,15:15,Afternoon,EW,Blackbird,Turdidae,Foraging,
68,15:16,Afternoon,EW,Blackbird,Turdidae,Resting,
69,15:23,Afternoon,EW,Blackbird,Turdidae,Foraging,
70,11:52,Midday,EW,Blackbird,Turdidae,Foraging,
71,12:03,Midday,EW,Blackbird,Turdidae,Foraging,
72,12:03,Midday,EW,Blackbird,Turdidae,Foraging,
